,Unnamed: 0,Station Names,YEAR,Month,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Station Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period
0,0,Barisal,1949,1,29.4,12.3,0.0,68.0,0.4537037037037036,0.6,7.831914893617017,41950,536809.8,510151.9,22.7,90.36,4,1949.01
65,65,Barisal,1949,2,33.9,15.2,9.0,63.0,0.6592592592592591,0.9,8.314893617021276,41950,536809.8,510151.9,22.7,90.36,4,1949.02
130,130,Barisal,1949,3,36.7,20.2,8.0,59.0,1.0851851851851853,1.5,8.131914893617022,41950,536809.8,510151.9,22.7,90.36,4,1949.03
195,195,Barisal,1949,4,33.9,23.9,140.0,71.0,1.7722222222222228,3.9,8.219148936170217,41950,536809.8,510151.9,22.7,90.36,4,1949.04
260,260,Barisal,1949,5,35.6,25.0,217.0,76.0,1.7037037037037035,4.1,7.0468085106382965,41950,536809.8,510151.9,22.7,90.36,4,1949.05
325,325,Barisal,1949,6,34.4,25.7,512.0,80.0,1.6314814814814815,5.6,4.072340425531915,41950,536809.8,510151.9,22.7,90.36,4,1949.06
390,390,Barisal,1949,7,33.4,25.8,575.0,85.0,1.5703703703703698,5.4,3.7382978723404254,41950,536809.8,510151.9,22.7,90.36,4,1949.07
455,455,Barisal,1949,8,33.5,25.7,349.0,86.0,1.3296296296296295,5.6,4.272340425531916,41950,536809.8,510151.9,22.7,90.36,4,1949.08
520,520,Barisal,1949,9,34.8,25.7,252.0,83.0,0.9370370370370368,4.8,4.823404255319146,41950,536809.8,510151.9,22.7,90.36,4,1949.09
585,585,Barisal,1949,10,34.0,24.7,128.0,78.0,0.4907407407407409,3.1,7.0,41950,536809.8,510151.9,22.7,90.36,4,1949.1
650,650,Barisal,1949,11,31.5,17.4,41.0,68.0,0.31296296296296283,0.9,7.851063829787233,41950,536809.8,510151.9,22.7,90.36,4,1949.11
715,715,Barisal,1949,12,29.7,12.5,0.0,66.0,0.33703703703703697,0.3,7.725531914893615,41950,536809.8,510151.9,22.7,90.36,4,1949.12
1,1,Barisal,1950,1,30.0,14.1,0.0,77.0,0.4537037037037036,0.8,7.831914893617017,41950,536809.8,510151.9,22.7,90.36,4,1950.01
66,66,Barisal,1950,2,31.7,16.6,90.0,76.0,0.6592592592592591,1.7,8.314893617021276,41950,536809.8,510151.9,22.7,90.36,4,1950.02
131,131,Barisal,1950,3,36.1,20.5,13.0,70.0,1.0851851851851853,2.9,8.131914893617022,41950,536809.8,510151.9,22.7,90.36,4,1950.03
196,196,Barisal,1950,4,37.2,24.2,66.0,75.0,1.7722222222222228,3.3,8.219148936170217,41950,536809.8,510151.9,22.7,90.36,4,1950.04
261,261,Barisal,1950,5,36.1,25.5,87.0,78.0,1.7037037037037035,4.8,7.0468085106382965,41950,536809.8,510151.9,22.7,90.36,4,1950.05
326,326,Barisal,1950,6,33.9,26.0,476.0,87.0,1.6314814814814815,7.2,4.072340425531915,41950,536809.8,510151.9,22.7,90.36,4,1950.06
391,391,Barisal,1950,7,32.2,25.9,546.0,89.0,1.5703703703703698,6.8,3.7382978723404254,41950,536809.8,510151.9,22.7,90.36,4,1950.07
456,456,Barisal,1950,8,32.8,25.6,337.0,90.0,1.3296296296296295,7.4,4.272340425531916,41950,536809.8,510151.9,22.7,90.36,4,1950.08
521,521,Barisal,1950,9,33.9,26.4,187.0,84.0,0.9370370370370368,6.5,4.823404255319146,41950,536809.8,510151.9,22.7,90.36,4,1950.09
586,586,Barisal,1950,10,33.3,24.5,339.0,85.0,0.4907407407407409,5.8,7.0,41950,536809.8,510151.9,22.7,90.36,4,1950.1
651,651,Barisal,1950,11,32.9,18.6,98.0,73.0,0.31296296296296283,2.9,7.851063829787233,41950,536809.8,510151.9,22.7,90.36,4,1950.11
716,716,Barisal,1950,12,30.1,14.0,0.0,68.0,0.33703703703703697,1.5,7.725531914893615,41950,536809.8,510151.9,22.7,90.36,4,1950.12
